Numéro;Nom;Types 1 ;Types 2 ;Evolution ;Niveau;Pv;Attaque;Defense;Sp. Atk;Sp. Def;Speed
1;Bulbizarre;Plante;Poison;Herbizarre;16;45;49;49;65;65;45
2;Herbizarre;Plante;Poison;Florizarre;32;60;62;63;80;80;60
3;Florizarre;Plante;Poison;;;80;82;83;100;100;80
4;Salamèche;Feu ;;Reptincel;16;39;52;43;60;50;65
5;Reptincel;Feu ;;Dracaufeu;36;58;64;58;80;65;80
6;Dracaufeu;Feu ;Vol;;;78;84;78;109;85;100
7;Carapuce;Eau;;Carabaffe;16;44;48;65;50;64;43
8;Carabaffe;Eau;;Tortank;36;59;63;80;65;80;58
9;Tortank;Eau;;;;79;83;100;85;105;78
10;Chenipan;Insecte;;Chrysacier;7;45;30;35;20;20;45
11;Chrysacier;Insecte;;Papilusion;10;50;20;55;25;25;30
12;Papilusion;Insecte;Vol;;;60;45;50;90;80;70
13;Aspicot;Insecte;Poison;Coconfort;7;40;35;30;20;20;50
14;Coconfort;Insecte;Poison;Dardargnan;10;45;25;50;25;25;35
15;Dardargnan;Insecte;Poison;;;65;90;40;45;80;75
16;Roucool;Normal;Vol;Roucoups;18;40;45;40;35;35;56
17;Roucoups;Normal;Vol;Roucarnage;36;63;60;55;50;50;71
18;Roucarnage;Normal;Vol;;;83;80;75;70;70;101
19;Rattata;Normal;;Rattatac;20;30;56;35;25;35;72
20;Rattatac;Normal;;;;55;81;60;50;70;97
21;Piafabec;Normal;Vol;Rapasdepic;20;40;60;30;31;31;70
22;Rapasdepic;Normal;Vol;;;65;90;65;61;61;100
23;Abo;Poison;;Arbok;22;35;60;44;40;54;55
24;Arbok;Poison;;;;60;95;69;65;79;80
25;Pikachu;Electrick;;Raichu;25;35;55;40;50;50;90
26;Raichu;Electrick ;;;;60;90;55;90;80;110
27;Sabelette;Sol;;Sablaireau;22;50;75;85;20;30;40
28;Sablaireau;Sol;;;;75;100;110;45;55;65
29;Nidoran_;Poison;;Nidorina;16;55;47;52;40;40;41
30;Nidorina;Poison;;Nidoqueen;32;70;62;67;55;55;56
31;Nidoqueen;Poison;Sol;;;90;92;87;75;85;76
32;Nidoran_;Poison;;Nidorino;16;46;57;40;40;40;50
33;Nidorino;Poison;;Nidoking;32;61;72;57;55;55;65
34;Nidoking;Poison;Sol;;;81;102;77;85;75;85
35;Mélofée;Fée;;Mélodelfe;22;70;45;48;60;65;35
36;Mélodelfe;Fée;;;;95;70;73;95;90;60
37;Goupix;Feu ;;Feunard;22;38;41;40;50;65;65
38;Feunard;Feu ;;;;73;76;75;81;100;100
39;Rondoudou;Normal;Fée;Grodoudou;22;115;45;20;45;25;20
40;Grodoudou;Normal;Fée;;;140;70;45;85;50;45
41;Nosferapti;Poison ;Vol;Nosferalto;22;40;45;35;30;40;55
42;Nosferalto;Poison ;Vol;;;75;80;70;65;75;90
43;Mystherbe;Plante;Poison ;Ortide;21;45;50;55;75;65;30
44;Ortide;Plante;Poison;Rafflesia;36;60;65;70;85;75;40
45;Rafflesia;Plante;Poison;;;75;80;85;110;90;50
46;Paras;Insecte ;Plante;Parasect;24;35;70;55;45;55;25
47;Parasect;Insecte;Plante;;;60;95;80;60;80;30
48;Mimitoss;Insecte;Poison;Aéromite;31;60;55;50;40;55;45
49;Aéromite;Insecte;Poison;;;70;65;60;90;75;90
50;Taupiqueur;Sol;;Triopikeur;26;10;55;25;35;45;95
51;Triopikeur;Sol;;;;35;100;50;50;70;120
52;Miaouss;Normal ;;Persian;28;40;45;35;40;40;90
53;Persian;Normal ;;;;65;70;60;65;65;115
54;Psykokwak;Eau;;Akwakwak;33;50;52;48;65;50;55
55;Akwakwak;Eau;;;;80;82;78;95;80;85
56;Férosinge;Combat;;Colossinge;28;40;80;35;35;45;70
57;Colossinge;Combat;;;;65;105;60;60;70;95
58;Caninos;Feu ;;Arcanin;22;55;70;45;70;50;60
59;Arcanin;Feu ;;;;90;110;80;100;80;95
60;Ptitard;Eau;;Têtarte;25;40;50;40;40;40;90
61;Têtarte;Eau;;Tartard;36;65;65;65;50;50;90
62;Tartard;Eau;Combat;;;90;95;95;70;90;70
63;Abra;Psy;;Kadabra;16;25;20;15;105;55;90
64;Kadabra;Psy;;Alakazam;36;40;35;30;120;70;105
65;Alakazam;Psy;;;;55;50;45;135;95;120
66;Machoc;Combat;;Machopeur;28;70;80;50;35;35;35
67;Machopeur;Combat;;Mackogneur;36;80;100;70;50;60;45
